■和訳
'cause	[短] = because
'em	[短] = them
20-20 hidsight	あと知恵，あとから言えること
a joint performance	協演
A&R	制作部員
A&R Man	Artist and Repertoire Man の略，制作部員
a.k.a	also known asの略，～としても知られる，またの名を，別名
abandon	捨てる，見捨てる，（身を）任せる
abuduct	拉致する，誘拐する
abundant	豊富な
aberration	脱線行為
ability	能力，力量，手腕，才能
able	有能な
about	およそ，ほぼ，約，～のあたりに（を、の），～について，～に従事して
above	～の上に
abroad	外国に，海外に
abyss	底無し地獄
academy	学校，学院，学士院，芸術院，the Academy = the Royal Academy:英国美術院，the French Academy:フランス学士院
accelerator	加速装置
accept	受け取る，引き受ける，認める，容認する
access	接近，入り口，面接
accessible	近付き易い，手に入れ易い
acclaime	歓呼する，喝采する
acclamation	歓呼，喝采
accompany	同行する，付添う，随行する，伴奏する
accomplish	完成する
accomplished	完成した，上品な，（技芸に）熟達した
accordance	一致，調和
according	～に従って，～に応じて
according to	～によると
accumulate	蓄積する
accurate	正確な，厳密な
achieve	成し遂げる，（目的を）達する
achieved	成し遂げた
achievement	功績，成功，成就
acknowledge	承認する
across	～を横切って，～を越えて
act	行為，幕；the third act 第三幕，演じる，行う
act on	に従って行動する
acting	演出，実演，演技，所作
action	活動，行為，行動
active	活動的，活発な，能動的
activist	活動家
actually	現実の，実際の，現在の
adapt	適合させる，適用させる，脚色する
adapted	適した，改作した
add	加える
added	加線
addition	付加，添加，加算
additional	追加の
address	宛名を書く，宛名
addressee	名宛人，受信人
admit	認める
adopt	採用する
adopted	採用された
advance	前進する，前進，前払い
advanced	進歩した，高等の
advancement	進歩，前進，向上，昇給
adventure	冒険，冒険する
advertising	広告，広告の
affair	事務，業務
affect	影響する，作用する
affiliation	入会，加入，合併，提携
affiliations	入会，加入，合併，提携
affordable	供給できる
afraid	心配で
after	～のあとに，～の次に
after all	やはり
again	再び
age	年齢
aggressive	強引な，攻撃的な
agile	軽快な，機敏な
agree	同意する，承諾する
agreement	同意，承諾，協定，一致，和合
ahead	前へ，前もって，あらかじめ
aid	促進する，手助けをする
aiiight	= a-ight allrightの俗語表現alrightをさらに崩した言い方
aim to do	～にする事を目標にする
ain't	[短] = am not, is not
air mail	航空便
aka	a.k.aと同じ，also known asの略，～としても知られる，またの名を，別名
alarm	警戒させる，危険を知らせる
alias	別名，偽名，またの名は，通称は
alien	外国の
alike	同様に
alive	活き活きした
allegation	容疑
allocation	割り当て
allow	許す
alminum	[米] アルミニウム　[英] = aliminium
aliminium	[英] アルミニウム　[米] = alminum
almost	ほとんど，たいてい，おおかた
along	～に沿って
along with	と共に
alongside	横に，並んで
already	すでに，もはや
also	また，もまた，なお
altered	修正した
alternate	交互の，互い違いの，代替
alternative	二者一択の
although	= though　～だけど
always	常に，いつも，いつでも
amaricana	アメリカ誌，アメリカ風俗
amaze	驚かす，びっくりさせる
amazement	驚き
amazing	驚くべき
ambush	待伏せ
among	～の中に
amongst	～の中に；= among
amount	要するに～になる，に等しい
amuse	楽しませる
ancient	古代の，太古の
and yet	それにもかかわらず
anger	怒らせる
angry	怒った
animated	生気ある，活気に満ちた
animated cartoon	漫画映画
animation	生気，活気，元気
another	他の
anthem	代表歌
anthology	文学・音楽・美術などの選集，作品集，名曲集
any	どんな
anyone	誰も
anything	なんでも
anyway	とにかく
apotheosis	神格化，理想的（な例），極地
apotheosises	神格化，理想的（な例），極地
appear	現れる
appears	現れる
apple	リンゴ
appliance	電気器具，電化製品
applicable	適用される
applicant	応募者
application	適用，応用，申込書
apply for	～を申し込む
appreciate	感謝する，正しく認識する，鑑賞する
appreciation	感謝，認識，識別，理解，鑑賞
apprentice	年季奉公人，年季奉公にやる
approach	に接触する，に話を持ち掛ける
appropriate	適当な，適切な
approximately	ほぼ正しい，おおよその
arcade	屋根付き街路
arcane	難解な
archrival	好敵手
architect	建築家
architecture	建築，建築術，建築物
archive	公文書保存所，記録保管所，古文書，記録類
area	地域，地方
aritistic	芸術的
arm	腕
arms	武器，兵器
army	陸軍，軍隊
around	回りを，辺りに，ぐるりと，四方に，～の周囲に
arrival	到着，到達
arrive	着く，到着する，達する，到達する
arrow	矢，矢印
article	箇条，条項，記事，品物
artist	芸術家
as well as	～と同様に
aside	脇へ，横に，別に
ask	尋ねる，問う，聞く
assembly line	流れ作業
assemble	集める，組み立てる
assembly	会合，集会，議会，（機械部品の）組み立て
assembly plant	組み立て工場
asset	資産
associate	交際する，連合する，組み合せる，連想する
associated	連合した，合同の，組合の
association	交際，連想，連合，協会，組合
assume	想定する
assumption	想定，前提
athlete	運動選手，運動競技者
athletic	運動の
attach	結び付ける，取り付ける，附属させる
attack	攻撃
attempt	試みる，企てる，試み，企て
attention	注意
attract	惹きつける
attraction	魅力
Aug.	8月
August	8月
authentic	真正の
authenticity	真実性
author	著者，著作者，作家，創始者，立案者
authorization	公認，認可，認定
authorize	権限を与える
autocratic	独裁の，独善的な
autocratic governments	独裁政権
automatic	自動の，自動装置の，無意識の，機械的の
automatically	自動的に，無意識に
automation	自動機械，自動人形
available	利用できる，手近にある
avenge	報復する
avenue	並木道，大通り
average	平均
away	遠方に，離れて
back	裏，背面，奥
background	背景
backing	伴奏，後援，支持
backseat driver	差し出がましい人，お節介な人
backstreet	裏通り，貧民街
backstreets	裏通り，貧民街
bad father	父親失格
bad mother	母親失格
baffle	当惑させる
baggage	荷物
baggage claim	手荷物預かり所
balance	釣り合わせる
ball room	大広間
ban	禁止する
bank	銀行
base	土台．基礎，基盤
basement	地下室
basic	基本の，基礎の，根本の
batch	一組，一群
battle	戦闘
bay	湾
bear	辛抱する，耐える
beat	打つ，脈打つ
beautiful	美しい，心地良い，鮮やかに，素敵な
because	なぜなら
become	～になる
bed-sitter	bed-sitting-room の略，寝室と居間が兼用の一間のアパート，ワンルーム・マンション
beep	ビープ音
before	～の前に
befriend	味方となる，助ける
begin	始まる，始める
beginning	最初，初期
behind	～の後ろに
being	存在，生存
believe	信じる，と思う
believe in	の存在を信じる，の価値を信じる
belong	属する
belonging	属する
below	～の下に
benchmark	ベンチマーク
beside	～のそばに
best	最上の
bet	賭ける，賭け事をする，掛け金
better	もっと良い
between	の間に
beyond	以外に
beware	気を付ける，用心する
bias	偏向，偏愛，執着
bill	請求書
bird	鳥
birthday	誕生日
birthmark	ほくろ，あざ
birthplace	誕生地，出生地，故郷
bit	小片，少量，少し，（大衆雑誌向けの）豆記事，ネタ，お話，話題，演出，仕掛け
blessing	幸運，天の恵み
blind	手探りで，闇雲に，しゃにむに，得体の知れない，一寸先の見えない
block party	野外集会
blood	血，血液，血統，血縁，家柄
blow	吹く
blueprint	図面
blur	曖昧，不明瞭
blush	赤面する
board	板，食卓
bold	大胆な
bonus	賞与金，割増金
book	予約する
boost	促進する，強化する
boot	長靴
both	両方の，双方の
bottom	底
bottom line	肝心なのは，結局
bounce	跳ねる
bow	お辞儀をする；弓：語源も発音も意味も違う
box	箱
branch	枝
brand-new	新品の，真新しい
breed	種類
bridge	橋
brief	短い，簡単な；to the brief to the brief 簡単に言えば
briefly	簡単に，手短に
brilliant	優秀な，目覚しい
bring	持って来る
brochure	小冊子
broken	破れた，壊れた
brought	持って来た
buffer	緩衝器
bug	虫
build	建てる
bulldog	猛者
bulletin	掲示
bump	ぶつかる
bundle	束，包み，束ねる，包む
burden	負担，重荷
breaucracy	官僚制，官僚主義
burn	燃やす，焼く
burn rubber	急発進させる，車を飛ばす
bus	乗り合い自動車
business	職業，商売
busk	（通行人を相手に）芸をする，どさ回りの芸をする，大道芸をする
busker	大道（旅）芸人，香具師
busking	大道芸，大道芸人
busy	忙しい，多忙な
but	しかし
button	ボタン
buy	買う
by chance	偶然
buying	購買
cabinet	飾り箪笥，飾り戸棚
cache	隠し場，貯蔵品，隠蔽蔵物
